# prefix,country_code,region_code,city,postal | https://www.iso.org/obp/ui/en/#iso:code:3166:GB
2400:8d60:1::/48,GB,GB-LND,London,EC4
2400:8d60:2::/48,US,US-CA,Los Angeles,90009
2400:8d60:3::/48,MY,MY-14,Kuala Lumpur,50480
2400:8d60:4::/48,DE,DE-HE,Frankfurt am Main,60489
2400:8d60:5::/48,MY,MY-14,Kuala Lumpur,50480
2400:8d60:6::/48,HK,HK,Hong Kong,000000
2400:8d60:7::/48,US,US-NY,New York,10013
2400:8d60:8::/48,JP,JP-27,Osaka,530-0003
2400:8d60:9::/48,PL,PL-14,Mazowsze,02-928
2400:8d60:10::/48,JP,JP-13,Tokyo,1500000
2400:8d60:11::/48,NL,NL-NH,Haarlem,2031 BE
2400:8d60:12::/48,CA,CA-QC,Montreal,H2Y1C6
2400:8d60:13::/48,AU,AU-NSW,Sydney,2000
2400:8d60:14::/48,ID,ID-JK,Jakarta,10110
2400:8d60:15::/48,MY,MY-14,Kuala Lumpur,50480 #SG
2400:8d60:16::/48,CH,ZH,Zurich,8001
2400:8d60:17::/48,FR,FR‑IDF,Saint‑Denis,93200
103.179.142.0/24,US,US-CA,Los Angeles,90009
103.179.143.0/24,GB,GB-LND,London,EC4
223.165.6.0/24,US,US-CA,Los Angeles,90009
91.218.183.0/24,GB,GB-LND,London,EC4
147.189.161.0/24,US,US-CA,Los Angeles,90009
193.247.144.0/24,GB,GB-LND,London,EC4
193.57.57.0/24,MY,MY-14,Kuala Lumpur,50480
198.105.126.0/24,US,US-CA,Los Angeles,90009
198.105.127.0/24,GB,GB-LND,London,EC4
155.254.60.0/24,MY,MY-14,Kuala Lumpur,50480
156.235.89.0/24,US,US-CA,Los Angeles,90009
154.91.0.0/24,GB,GB-LND,London,EC4
45.195.76.0/24,MY,MY-14,Kuala Lumpur,50480
156.227.0.0/24,DE,DE-HE,Frankfurt am Main,60489
156.236.76.0/24,US,US-CA,Los Angeles,90009
45.194.27.0/24,MY,MY-14,Kuala Lumpur,50480
